Category,category image name,Level,Filename,English,fr,nl,de,it,es,ru,ko,zh-CN,ja
in the home,CategoryInHome.png,3,window.jpg,window,fenêtre,raam,Fenster,finestra,ventana,окно,창문,窗户,窓
places,CategoryPlaces.png,6,bank.jpg,bank,banque,bank,Bank,banca,banco,банк,은행,银行,銀行
places,CategoryPlaces.png,6,bathroom.jpg,bathroom,salle de bain,badkamer,Badezimmer,bagno,baño,ванная,욕실,浴室,浴室
places,CategoryPlaces.png,6,beach.jpg,beach,plage,strand,Strand,spiaggia,playa,пляж,해수욕장,海滩,浜辺
places,CategoryPlaces.png,6,bedroom.jpg,bedroom,chambre à coucher,slaapkamer,Schlafzimmer,camera da letto,cuarto,Спальня,침실,卧室,寝室
places,CategoryPlaces.png,6,farm.jpg,farm,ferme,boerderij,Bauernhof,fattoria,granja,ферма,농장,农场,農場
places,CategoryPlaces.png,6,garden.jpg,garden,jardin,tuin,Garten,giardino,jardín,сад,정원,花园,庭
places,CategoryPlaces.png,6,gym.jpg,gym,gym,gym,Fitnessstudio,palestra,gimnasio,фитнес-клуб,헬스클럽,健身会所,フィットネスクラブ
places,CategoryPlaces.png,6,hallway.jpg,hallway,couloir,gang,Flur,corridoio,pasillo,прихожая,복도,门厅,廊下
places,CategoryPlaces.png,6,hospital.jpg,hospital,hôpital,ziekenhuis,Krankenhaus,ospedale,hospital,больница,병원,医院,病院
places,CategoryPlaces.png,6,hotel.jpg,hotel,hôtel,hotel,Hotel,albergo,hotel,Гостиница,호텔,饭店,ホテル
places,CategoryPlaces.png,6,house.jpg,house,maison,huis,Haus,casa,casa,дом,집,房子,家
places,CategoryPlaces.png,6,kitchen.jpg,kitchen,cuisine,keuken,Küche,cucina,cocina,кухня,부엌,厨房,台所
places,CategoryPlaces.png,6,lake.jpg,lake,lac,meer,See,lago,lago,озеро,호수,湖,湖
places,CategoryPlaces.png,6,library.jpg,library,bibliothèque,bibliotheek,Bibliothek,biblioteca,biblioteca,библиотека,도서관,图书馆,図書室
places,CategoryPlaces.png,6,livingroom.jpg,living room,salle de séjour,huiskamer,Wohnzimmer,salotto,sala,гостиная,거실,客厅,居間
places,CategoryPlaces.png,6,mall.jpg,shopping mall,centre commercial,winkelcentrum,Einkaufscenter,centro commerciale,centro comercial,супермаркет,쇼핑몰,购物中心,商店街
places,CategoryPlaces.png,6,market.jpg,market,marché,markt,Markt,mercato,mercado,рынок,시장,市场,市場
places,CategoryPlaces.png,6,office.jpg,office,bureau,kantoor,Büro,ufficio,oficina,офис,사무실,办公室,事務所
places,CategoryPlaces.png,6,park.jpg,park,parc,park,Park,parco,parque,парк,공원,公园,公園
places,CategoryPlaces.png,6,playground.jpg,playground,cour de récréation,speelplaats,Spielplatz,parco giochi,patio de recreo,Детская площадка,놀이터,操场,遊び場
places,CategoryPlaces.png,6,pool.jpg,pool,piscine,zwembad,Pool,piscina,piscina,бассейн,수영장,池,プール
places,CategoryPlaces.png,6,restaurant.jpg,restaurant,restaurant,restaurant,Restaurant,ristorante,restaurante,ресторан,레스토랑,餐厅,レストラン
places,CategoryPlaces.png,6,river.jpg,river,rivière,rivier,Fluss,fiume,río,река,강,江,川
places,CategoryPlaces.png,6,school.jpg,school,l'école,school,Schule,scuola,colegio,школа,학교,学校,学校
places,CategoryPlaces.png,6,sea.jpg,sea,mer,zee,Meer,mare,mar,море,바다,海,海
places,CategoryPlaces.png,6,shop.jpg,shop,magasin,winkel,Geschäft,negozio,tienda,магазин,가게,店,店
places,CategoryPlaces.png,6,supermarket.jpg,supermarket,supermarché,supermarkt,Supermarkt,supermercato,supermercado,супермаркет,슈퍼마켓,超市,スーパーマーケット
places,CategoryPlaces.png,6,toilet.jpg,toilet,toilette,toilet,Toilette,gabinetto,baño,туалет,화장실,洗手间,トイレ
people,CategoryPeople.png,2,baby.jpg,baby,bébé,baby,Baby,neonato,bebé,ребенок,아기,婴儿,赤ちゃん
people,CategoryPeople.png,2,boy.jpg,boy,garçon,jongen,Junge,ragazzo,chico,мальчик,소년,男孩,男の子
people,CategoryPeople.png,2,doctor.jpg,doctor,docteur,dokter,Arzt,medico,doctor,врач,의사,医生,医師
people,CategoryPeople.png,2,girl.jpg,girl,fille,meisje,Mädchen,ragazza,chica,девушка,소녀,女孩,女の子
people,CategoryPeople.png,2,man.jpg,man,homme,man,Mann,uomo,hombre,мужчина ,남자,男人,男
people,CategoryPeople.png,2,police.jpg,police,police,politie,Polizei,polizia,policía,полиция,경찰,警察,警察
people,CategoryPeople.png,2,woman.jpg,woman,femme,vrouw,Frau,donna,mujer,женщина,여자,女人,女性
sports,CategorySports.png,6,badminton.jpg,badminton,badminton,badminton,Badminton,badminton,bádminton,бадминтон,배드민턴,羽毛球,バドミントン
sports,CategorySports.png,6,basketball.jpg,basketball,basket,basketbal,Basketball,pallacanestro,baloncesto,баскетбол,농구,篮球,バスケットボール
sports,CategorySports.png,6,cycling.jpg,cycling,cyclisme,wielersport,Radfahren,ciclismo,ciclismo,езда на велосипеде,싸이클링,骑行,サイクリング
sports,CategorySports.png,6,football.jpg,football,football,voetbal,Fußball,calcio,fútbol,футбол,축구,足球,サッカー
sports,CategorySports.png,6,golf.jpg,golf,golf,golf,Golf,golf,golf,гольф,골프,高尔夫球,ゴルフ
sports,CategorySports.png,6,skiing.jpg,skiing,ski,skiën,Skifahren,sciare,esquiando,кататься на лыжах,스키타기,滑雪,スキー
sports,CategorySports.png,6,swimming.jpg,swimming,natation,zwemmen,Schwimmen,nuoto,nadando,плавание,수영,游泳,水泳
sports,CategorySports.png,6,tennis.jpg,tennis,tennis,tennis,Tennis,tennis,tenis,Большой теннис,테니스,网球运动,テニス
sports,CategorySports.png,6,windsurfing.jpg,watersports,sports nautiques,watersport,Wassersport,sport acquatici,deportes acuáticos,водные виды спорта,수상 스포츠,水上运动,ウォータースポーツ
transport,CategoryTransport.png,6,aeroplane.jpg,aeroplane,avion,vliegtuig,Flugzeug,aeroplano,avión,самолет,비행기,飞机,飛行機
transport,CategoryTransport.png,6,bicycle.jpg,bicycle,vélo,fiets,Fahrrad,bicicletta,bicicleta,велосипед,자전거,自行车,自転車
transport,CategoryTransport.png,6,boat.jpg,boat,bateau,boot,Boot,barca,barco,лодка,보트,船,ボート
transport,CategoryTransport.png,6,car.jpg,car,voiture,auto,Auto,macchina,auto,автомобиль,차,汽车,車
transport,CategoryTransport.png,6,train.jpg,train,train,trein,Bahn,treno,entrenar,поезд,기차,火车,列車
animals,CategoryAnimals.png,2,lion.jpg,lion,lion,leeuw,Löwe,leone,león,лев,사자,狮子,ライオン
animals,CategoryAnimals.png,2,elephant.jpg,elephant,éléphant,olifant,Elefant,elefante,elefante,слон,코끼리,大象,象
animals,CategoryAnimals.png,2,bear.jpg,bear,ours,beer,tragen,orso,oso,медведь,곰,熊,クマ
animals,CategoryAnimals.png,2,wolf.jpg,wolf,loup,wolf,Wolf,lupo,lobo,волк,늑대,狼,狼
animals,CategoryAnimals.png,2,fox.jpg,fox,renard,vos,Fuchs,volpe,zorro,лиса,여우,狐狸,キツネ
animals,CategoryAnimals.png,2,rabbit.jpg,rabbit,lapin,konijn,Kaninchen,coniglio,conejo,кролик,토끼,兔子,うさぎ
animals,CategoryAnimals.png,2,turtle.jpg,turtle,tortue,schildpad,Schildkröte,tartaruga,tortuga,черепаха,거북이,龟,カメ
animals,CategoryAnimals.png,2,frog.jpg,frog,grenouille,kikker,Frosch,rana,rana,лягушка,개구리,青蛙,蛙
animals,CategoryAnimals.png,2,snake.jpg,snake,serpent,slang,Schlange,serpente,serpiente,змея,뱀,蛇,蛇
animals,CategoryAnimals.png,2,crocodile.jpg,crocodile,crocodile,krokodil,Krokodil,coccodrillo,cocodrilo,крокодил,악어,鳄鱼,クロコダイル
animals,CategoryAnimals.png,2,shark.jpg,shark,requin,haai,Hai,squalo,tiburón,акула,상어,鲨鱼,サメ
animals,CategoryAnimals.png,2,whale.jpg,whale,baleine,walvis,Wal,balena,ballena,кит,고래,鲸,鯨
animals,CategoryAnimals.png,2,dolphin.jpg,dolphin,dauphin,dolfijn,Delphin,delfino,delfín,дельфин,돌고래,海豚,イルカ
animals,CategoryAnimals.png,2,penguin.jpg,penguin,manchot,pinguïn,Pinguin,pinguino,pingüino,пингвин,펭귄,企鹅,ペンギン
animals,CategoryAnimals.png,2,eagle.jpg,eagle,aigle,adelaar,Adler,aquila,águila,орел,독수리,鹰,イーグル
animals,CategoryAnimals.png,2,owl.jpg,owl,hibou,uil,Eule,gufo,búho,сова,올빼미,猫头鹰,フクロウ
animals,CategoryAnimals.png,2,parrot.jpg,parrot,perroquet,papegaai,Papagei,pappagallo,loro,попугай,앵무새,鹦鹉,オウム
animals,CategoryAnimals.png,2,butterfly.jpg,butterfly,papillon,vlinder,Schmetterling,farfalla,mariposa,бабочка,나비,蝴蝶,蝶
animals,CategoryAnimals.png,2,bee.jpg,bee,abeille,bij,Biene,ape,abeja,пчела,벌,蜜蜂,蜂
animals,CategoryAnimals.png,2,ant.jpg,ant,fourmi,mier,Ameise,formica,hormiga,муравей,개미,蚂蚁,アリ
animals,CategoryAnimals.png,2,spider.jpg,spider,araignée,spin,Spinne,ragno,araña,паук,거미,蜘蛛,スパイダー
animals,CategoryAnimals.png,2,crab.jpg,crab,crabe,krab,Krabbe,granchio,cangrejo,краб,게,螃蟹,カニ
animals,CategoryAnimals.png,2,lobster.jpg,lobster,homard,kreeft,Hummer,aragosta,langosta,Омар,새우,龙虾,ロブスター
animals,CategoryAnimals.png,2,octopus.jpg,octopus,pieuvre,octopus,Oktopus,polpo,pulpo,осьминог,문어,章鱼,タコ
animals,CategoryAnimals.png,2,jellyfish.jpg,jellyfish,méduse,kwal,Qualle,medusa,medusa,медуза,해파리,海蜇,クラゲ
animals,CategoryAnimals.png,2,seahorse.jpg,seahorse,hippocampe,zeepaardje,Seepferdchen,cavalluccio marino,caballito de mar,морской конёк,해마,海马,タツノオトシゴ
animals,CategoryAnimals.png,2,starfish.jpg,starfish,étoile de mer,zeester,Seestern,stella marina,estrella de mar,морская звезда,불가사리,海星,ヒトデ
animals,CategoryAnimals.png,2,camel.jpg,camel,chameau,kameel,Kamel,cammello,camello,верблюд,낙다,骆驼,キャメル
animals,CategoryAnimals.png,2,zebra.jpg,zebra,zèbre,zebra,Zebra,zebra,cebra,зебра,얼룩말,斑马,ゼブラ
animals,CategoryAnimals.png,2,giraffe.jpg,giraffe,girafe,giraffe,Giraffe,giraffa,jirafa,жирафа,기린,长颈鹿,キリン
animals,CategoryAnimals.png,2,hippopotamus.jpg,hippopotamus,hippopotame,nijlpaard,Nilpferd,ippopotamo,hipopótamo,бегемот,하마,河马,カバ
animals,CategoryAnimals.png,2,rhinoceros.jpg,rhinoceros,rhinocéros,neushoorn,Nashorn,rinoceronte,rinoceronte,носорог,코뿔소,犀牛,サイ
animals,CategoryAnimals.png,2,kangaroo.jpg,kangaroo,kangourou,kangoeroe,Känguru,canguro,canguro,кенгуру,캥거루,袋鼠,カンガルー
animals,CategoryAnimals.png,2,koala.jpg,koala,koala,koala,Koala,koala,coala,коала,코알라,考拉,コアラ
animals,CategoryAnimals.png,2,panda.jpg,panda,panda,panda,Panda,panda,panda,панда,팬더,熊猫,パンダ
animals,CategoryAnimals.png,2,gorilla.jpg,gorilla,gorille,gorilla,Gorilla,gorilla,gorila,горилла,고릴라,大猩猩,ゴリラ
animals,CategoryAnimals.png,2,chimpanzee.jpg,chimpanzee,chimpanzé,chimpansee,Schimpanse,scimpanzé,chimpancé,шимпанзе,침팬지,黑猩猩,チンパンジー
animals,CategoryAnimals.png,2,sloth.jpg,sloth,paresseux,luiaard,Faultier,pigrizia,ranura,лень,나태,树懒,ナマケモノ
everyday objects,CategoryObjects.png,1,umbrella.jpg,umbrella,parapluie,paraplu,Regenschirm,ombrello,paraguas,зонтик,우산,伞,傘
everyday objects,CategoryObjects.png,1,wallet.jpg,wallet,portefeuille,portemonnee,Geldbörse,portafoglio,billetera,кошелек,지갑,钱包,財布
everyday objects,CategoryObjects.png,1,sunglasses.jpg,sunglasses,lunettes de soleil,zonnebril,Sonnenbrille,occhiali da sole,gafas de sol,солнцезащитные очки,색안경,太阳镜,サングラス
everyday objects,CategoryObjects.png,1,backpack.jpg,backpack,sac à dos,rugzak,Rucksack,zaino,mochila,рюкзак,배낭,背包,バックパック
everyday objects,CategoryObjects.png,1,suitcase.jpg,suitcase,valise,koffer,Koffer,valigia,maleta,чемодан,여행 가방,手提箱,スーツケース
everyday objects,CategoryObjects.png,1,brush.jpg,brush,brosse,borstel,Bürste,spazzola,cepillar,щетка,브러시,刷子,ブラシ
everyday objects,CategoryObjects.png,1,comb.jpg,comb,peigne,kam,Kamm,pettine,peine,гребень,빗,梳子,櫛
everyday objects,CategoryObjects.png,1,toothbrush.jpg,toothbrush,brosse à dents,tandenborstel,Zahnbürste,spazzolino da denti,cepillo de dientes,зубная щетка,칫솔,牙刷,歯ブラシ
everyday objects,CategoryObjects.png,1,toothpaste.jpg,toothpaste,dentifrice,tandpasta,Zahnpasta,dentifricio,pasta dentífrica,зубная паста,치약,牙膏,歯磨き粉
everyday objects,CategoryObjects.png,1,shampoo.jpg,shampoo,shampooing,shampoo,Shampoo,shampoo,champú,шампунь,샴푸,洗发水,シャンプー
everyday objects,CategoryObjects.png,1,tissue.jpg,tissue,tissu,weefsel,Gewebe,tessuto,tejido,салфетка,조직,组织,組織
everyday objects,CategoryObjects.png,1,toilet_paper.jpg,toilet paper,papier toilette,toiletpapier,Klopapier,carta igienica,papel higiénico,туалетная бумага,휴지,卫生纸,トイレットペーパー
everyday objects,CategoryObjects.png,1,sponge.jpg,sponge,éponge,spons,Schwamm,spugna,esponja,губка,스펀지,海绵,スポンジ
everyday objects,CategoryObjects.png,1,broom.jpg,broom,balai,bezem,Besen,scopa,escoba,метла,비,扫帚,ほうき
everyday objects,CategoryObjects.png,1,mop.jpg,mop,serpillière,dweil,Mop,scopa,fregar,швабра,대걸레,拖把,モップ
everyday objects,CategoryObjects.png,1,bucket.jpg,bucket,seau,emmer,Eimer,secchio,balde,ведро,버킷,桶,バケツ
everyday objects,CategoryObjects.png,1,trash_can.jpg,trash can,poubelle,vuilnisbak,Mülleimer,bidone della spazzatura,bote de basura,мусорное ведро,쓰레기통,垃圾桶,ごみ箱
in the home,CategoryInHome.png,3,couch.jpg,couch,canapé,bank,Couch,divano,sofá,диван,침상,长椅,ソファー
in the home,CategoryInHome.png,3,armchair.jpg,armchair,fauteuil,fauteuil,Sessel,poltrona,sillón,кресло,안락의자,扶手椅,肘掛け椅子
in the home,CategoryInHome.png,3,coffee_table.jpg,coffee table,table basse,salontafel,Couchtisch,tavolino da caffè,mesa de centro,кофейный столик,커피 테이블,茶几,コー​​ヒーテーブル
in the home,CategoryInHome.png,3,bookshelf.jpg,bookshelf,bibliothèque,boekenplank,Bücherregal,libreria,estante para libros,книжная полка,책장,书架,本棚
in the home,CategoryInHome.png,3,television.jpg,television,télévision,televisie,Fernsehen,televisione,televisión,телевидение,텔레비전,电视,テレビ
in the home,CategoryInHome.png,3,remote_control.jpg,remote control,télécommande,afstandsbediening,Fernbedienung,telecomando,mando a distancia,пульт дистанционного управления,원격 제어,遥控,リモコン
in the home,CategoryInHome.png,3,rug.jpg,rug,tapis,tapijt,Teppich,tappeto,alfombra,коврик,깔개,小地毯,ラグ
in the home,CategoryInHome.png,3,carpet.jpg,carpet,tapis,tapijt,Teppich,tappeto,alfombra,ковер,양탄자,地毯,カーペット
in the home,CategoryInHome.png,3,curtain.jpg,curtain,rideau,gordijn,Vorhang,tenda,cortina,занавес,커튼,窗帘,カーテン
in the home,CategoryInHome.png,3,blind.jpg,blind,aveugle,blind,blind,cieco,ciego,слепой,눈이 먼,瞎的,盲目
in the home,CategoryInHome.png,3,cushion.jpg,cushion,coussin,kussen,Kissen,cuscino,almohadón,подушка,쿠션,软垫,クッション
in the home,CategoryInHome.png,3,blanket.jpg,blanket,couverture,deken,Decke,coperta,frazada,одеяло,담요,毯子,ブランケット
in the home,CategoryInHome.png,3,sheet.jpg,sheet,feuille,laken,Blatt,foglio,hoja,лист,시트,床单,シート
in the home,CategoryInHome.png,3,mattress.jpg,mattress,matelas,matras,Matratze,materasso,colchón,матрас,섶나무 다발,床垫,マットレス
in the home,CategoryInHome.png,3,wardrobe.jpg,wardrobe,garde-robe,kledingkast,Kleiderschrank,armadio,armario,гардероб,옷장,衣柜,ワードローブ
in the home,CategoryInHome.png,3,closet.jpg,closet,placard,kast,Kleiderschrank,guardaroba,armario,шкаф,벽장,壁橱,クローゼット
in the home,CategoryInHome.png,3,dresser.jpg,dresser,buffet,dressoir,Kommode,comò,aparador,комод,경대,梳妆台,ドレッサー
in the home,CategoryInHome.png,3,light_bulb.jpg,light bulb,ampoule,gloeilamp,Glühbirne,lampadina,bombilla,лампочка,전구,灯泡,電球
in the home,CategoryInHome.png,3,switch.jpg,switch,changer,schakelaar,schalten,interruttore,cambiar,выключатель,스위치,转变,スイッチ
in the home,CategoryInHome.png,3,plug.jpg,plug,prise,plug,Stecker,tappo,enchufar,затыкать,플러그,插头,プラグ
in the home,CategoryInHome.png,3,socket.jpg,socket,douille,stopcontact,Buchse,PRESA,enchufe,розетка,소켓,插座,ソケット
in the home,CategoryInHome.png,3,elevator.jpg,elevator,ascenseur,lift,Aufzug,ascensore,ascensor,лифт,엘리베이터,电梯,エレベーター
in the home,CategoryInHome.png,3,balcony.jpg,balcony,balcon,balkon,Balkon,balcone,balcón,балкон,발코니,阳台,バルコニー
in the home,CategoryInHome.png,3,terrace.jpg,terrace,terrasse,terras,Terrasse,terrazza,terraza,терраса,테라스,阳台,テラス
in the home,CategoryInHome.png,3,roof.jpg,roof,toit,dak,Dach,tetto,techo,крыша,지붕,屋顶,屋根
in the home,CategoryInHome.png,3,chimney.jpg,chimney,cheminée,schoorsteen,Schornstein,camino,tubo de lámpara,камин,굴뚝,烟囱,煙突
in the home,CategoryInHome.png,3,fireplace.jpg,fireplace,cheminée,haard,Kamin,camino,hogar,камин,난로,壁炉,暖炉
personal belongings,CategoryPersonal.png,3,purse.jpg,purse,bourse,tas,Geldbeutel,borsa,cartera,кошелек,지갑,钱包,財布
personal belongings,CategoryPersonal.png,3,handbag.jpg,handbag,sac à main,handtas,Handtasche,borsetta,bolso,сумочка,핸드백,手提包,ハンドバッグ
personal belongings,CategoryPersonal.png,3,briefcase.jpg,briefcase,mallette,aktentas,Aktentasche,valigetta,maletín,портфель,서류가방,公文包,ブリーフケース
personal belongings,CategoryPersonal.png,3,luggage.jpg,luggage,bagage,bagage,Gepäck,bagaglio,equipaje,багаж,수화물,行李,荷物
personal belongings,CategoryPersonal.png,3,passport.jpg,passport,passeport,paspoort,Reisepass,passaporto,pasaporte,паспорт,여권,护照,パスポート
personal belongings,CategoryPersonal.png,3,id_card.jpg,ID card,Carte d'identité,ID-kaart,Ausweis,carta d'identità,tarjeta de identificación,Удостоверение личности,신분증,身份证,IDカード
personal belongings,CategoryPersonal.png,3,driver's_license.jpg,driver's license,le permis de conduire,rijbewijs,Führerschein,patente di guida,Licencia de conducir,водительское удостоверение,운전면허증,驾照,運転免許証
personal belongings,CategoryPersonal.png,3,credit_card.jpg,credit card,carte de crédit,creditcard,Kreditkarte,carta di credito,tarjeta de crédito,кредитная карта,신용카드,信用卡,クレジットカード
personal belongings,CategoryPersonal.png,3,cash.jpg,cash,espèces,contant geld,Kasse,contanti,dinero,наличные,현금,现金,現金
personal belongings,CategoryPersonal.png,3,coins.jpg,coins,pièces,munten,Münzen,monete,monedas,монеты,동전,硬币,コイン
personal belongings,CategoryPersonal.png,3,receipt.jpg,receipt,reçu,ontvangst,Quittung,ricevuta,recibo,квитанция,영수증,收据,レシート
personal belongings,CategoryPersonal.png,3,ticket.jpg,ticket,billet,ticket,Ticket,biglietto,boleto,билет,표,票,チケット
personal belongings,CategoryPersonal.png,3,boarding_pass.jpg,boarding pass,carte d'embarquement,instapkaart,Bordkarte,carta d'imbarco,pase de abordar,посадочный талон,탑승권,扩大通行证,搭乗券
personal belongings,CategoryPersonal.png,3,keychain.jpg,keychain,porte-clés,sleutelhanger,Schlüsselanhänger,portachiavi,llavero,брелок,열쇠고리,钥匙链,キーホルダー
personal belongings,CategoryPersonal.png,3,glasses.jpg,glasses,lunettes,bril,Gläser,occhiali,anteojos,очки,안경,眼镜,眼鏡
personal belongings,CategoryPersonal.png,3,contact_lenses.jpg,contact lenses,lentilles de contact,contactlenzen,Kontaktlinsen,lenti a contatto,lentes de contacto,контактные линзы,콘택트렌즈,隐形眼镜,コンタクトレンズ
personal belongings,CategoryPersonal.png,3,jewelry.jpg,jewelry,bijoux,sieraden,Schmuck,gioielli,joyas,ювелирные изделия,보석류,珠宝,ジュエリー
personal belongings,CategoryPersonal.png,3,necklace.jpg,necklace,collier,halsketting,Halskette,collana,collar,ожерелье,목걸이,项链,ネックレス
personal belongings,CategoryPersonal.png,3,bracelet.jpg,bracelet,bracelet,armband,Armband,braccialetto,pulsera,браслет,팔찌,手镯,ブレスレット
personal belongings,CategoryPersonal.png,3,ring.jpg,ring,anneau,ring,Ring,squillo,anillo,кольцо,반지,戒指,指輪
personal belongings,CategoryPersonal.png,3,earrings.jpg,earrings,boucles d'oreilles,oorbellen,Ohrringe,orecchini,pendientes,серьги,귀걸이,耳环,イヤリング
personal belongings,CategoryPersonal.png,3,makeup.jpg,makeup,se maquiller,make-up,bilden,trucco,constituir,составить,조립,化妆品,補う
personal belongings,CategoryPersonal.png,3,lipstick.jpg,lipstick,rouge à lèvres,lippenstift,Lippenstift,rossetto,lápiz labial,помада,입술 연지,口红,口紅
personal belongings,CategoryPersonal.png,3,perfume.jpg,perfume,parfum,parfum,Parfüm,profumo,perfume,духи,향수,香水,香水
personal belongings,CategoryPersonal.png,3,cologne.jpg,cologne,eau de Cologne,Keulen,Köln,colonia,Colonia,одеколон,향수,科隆,ケルン
personal belongings,CategoryPersonal.png,3,deodorant.jpg,deodorant,déodorant,deodorant,Deodorant,deodorante,desodorante,дезодорант,탈취제,除臭剂,デオドラント
verbs,CategoryVerbs.png,0,read.jpg,read,lire,lezen,lesen,Leggere,leer,читать,읽다,读,読む
verbs,CategoryVerbs.png,0,write.jpg,write,écrire,schrijven,schreiben,scrivere,escribir,писать,쓰다,写,書く
verbs,CategoryVerbs.png,0,listen.jpg,listen,écouter,luisteren,Hören,Ascoltare,escuchar,слушать,듣다,听,聞く
verbs,CategoryVerbs.png,0,speak.jpg,speak,parler,spreken,sprechen,parlare,hablar,говорить,말하다,说话,話す
verbs,CategoryVerbs.png,0,talk.jpg,talk,parler,gesprek,sprechen,parlare,hablar,разговаривать,말하다,讲话,話す
verbs,CategoryVerbs.png,0,study.jpg,study,étude,studie,Studie,studio,estudiar,изучать,공부하다,学习,勉強
verbs,CategoryVerbs.png,0,learn.jpg,learn,apprendre,leren,lernen,Imparare,aprender,учиться,배우다,学习,学ぶ
verbs,CategoryVerbs.png,0,teach.jpg,teach,enseigner,onderwijzen,unterrichten,insegnare,enseñar,учить,가르치다,教,教える
verbs,CategoryVerbs.png,0,understand.jpg,understand,comprendre,begrijpen,verstehen,capire,entender,понимать,이해하다,理解,理解する
verbs,CategoryVerbs.png,0,remember.jpg,remember,souviens-toi,herinneren,erinnern,Ricordare,recordar,помнить,기억하다,记住,覚えて
verbs,CategoryVerbs.png,0,forget.jpg,forget,oublier,vergeten,vergessen,dimenticare,olvidar,забывать,잊다,忘记,忘れる
verbs,CategoryVerbs.png,0,think.jpg,think,pense,denken,denken,pensare,pensar,думать,생각하다,思考,考える
verbs,CategoryVerbs.png,0,believe.jpg,believe,croire,geloven,glauben,credere,creer,полагать,믿다,相信,信じる
verbs,CategoryVerbs.png,0,know.jpg,know,savoir,weten,wissen,Sapere,saber,знать,알다,知道,知る
verbs,CategoryVerbs.png,0,guess.jpg,guess,deviner,gok,erraten,Indovinare,adivinar,предполагать,추측하다,猜测,推測
verbs,CategoryVerbs.png,0,dream.jpg,dream,rêve,droom,Traum,sogno,sueño,мечтать,꿈,梦,夢
verbs,CategoryVerbs.png,0,imagine.jpg,imagine,imaginer,voorstellen,vorstellen,immaginare,imaginar,представлять себе,상상하다,想象,想像する
verbs,CategoryVerbs.png,0,create.jpg,create,créer,creëren,erstellen,creare,crear,создавать,만들다,创造,作成する
verbs,CategoryVerbs.png,0,build.jpg,build,construire,bouwen,bauen,costruire,construir,строить,짓다,建造,建てる
verbs,CategoryVerbs.png,0,destroy.jpg,destroy,détruire,vernietigen,zerstören,distruggere,destruir,разрушать,파괴하다,破坏,破壊する
verbs,CategoryVerbs.png,0,break.jpg,break,casser,pauze,brechen,rottura,romper,перерыв,부서지다,休息,壊す
places,CategoryPlaces.png,6,city.jpg,city,ville,stad,Stadt,città,ciudad,город,도시,城市,市
places,CategoryPlaces.png,6,town.jpg,town,ville,dorp,Stadt,città,ciudad,город,도시,镇,町
places,CategoryPlaces.png,6,village.jpg,village,village,dorp,Dorf,villaggio,aldea,деревня,마을,村庄,村
places,CategoryPlaces.png,6,countryside.jpg,countryside,campagne,platteland,Landschaft,campagna,campo,сельская местность,한 지방,农村,田舎
places,CategoryPlaces.png,6,street.jpg,street,rue,straat,Straße,strada,calle,улица,거리,街道,通り
places,CategoryPlaces.png,6,road.jpg,road,route,weg,Straße,strada,camino,дорога,도로,路,道
places,CategoryPlaces.png,6,highway.jpg,highway,autoroute,snelweg,Autobahn,autostrada,carretera,шоссе,고속도로,公路,高速道路
places,CategoryPlaces.png,6,bridge.jpg,bridge,pont,brug,Brücke,ponte,puente,мост,다리,桥,橋
places,CategoryPlaces.png,6,tunnel.jpg,tunnel,tunnel,tunnel,Tunnel,tunnel,túnel,туннель,터널,隧道,トンネル
places,CategoryPlaces.png,6,building.jpg,building,bâtiment,gebouw,Gebäude,edificio,edificio,здание,건물,建筑,建物
places,CategoryPlaces.png,6,apartment.jpg,apartment,appartement,appartement,Wohnung,appartamento,departamento,квартира,아파트,公寓,アパート
places,CategoryPlaces.png,6,castle.jpg,castle,château,kasteel,Schloss,castello,castillo,замок,성,城堡,城
places,CategoryPlaces.png,6,palace.jpg,palace,palais,paleis,Palast,palazzo,palacio,дворец,궁전,宫殿,宮殿
places,CategoryPlaces.png,6,tower.jpg,tower,tour,toren,Turm,torre,torre,башня,탑,塔,タワー
places,CategoryPlaces.png,6,church.jpg,church,église,kerk,Kirche,Chiesa,iglesia,церковь,교회,教会,教会
places,CategoryPlaces.png,6,temple.jpg,temple,temple,tempel,Tempel,tempio,templo,храм,절,寺庙,寺
places,CategoryPlaces.png,6,mosque.jpg,mosque,mosquée,moskee,Moschee,moschea,mezquita,мечеть,사원,清真寺,モスク
places,CategoryPlaces.png,6,clinic.jpg,clinic,clinique,kliniek,Klinik,clinica,clínica,клиника,진료소,诊所,クリニック
places,CategoryPlaces.png,6,pharmacy.jpg,pharmacy,pharmacie,apotheek,Apotheke,farmacia,farmacia,аптека,약국,药店,薬局
places,CategoryPlaces.png,6,police_station.jpg,police station,poste de police,politiebureau,Polizeistation,stazione di polizia,comisaría de policía,полицейский участок,경찰서,警察局,警察署
places,CategoryPlaces.png,6,fire_station.jpg,fire station,caserne de pompiers,brandweerkazerne,Feuerwache,stazione dei vigili del fuoco,estación de bomberos,пожарная часть,소방서,消防局,消防署
places,CategoryPlaces.png,6,post_office.jpg,post office,bureau de poste,Postkantoor,Postamt,ufficio postale,oficina de correos,почтовое отделение,우체국,邮局,郵便局
people,CategoryPeople.png,2,family.jpg,family,famille,familie,Familie,famiglia,familia,семья,가족,家庭,家族
people,CategoryPeople.png,2,parent.jpg,parent,mère,ouder,Elternteil,genitore,padre,родитель,조상,家长,親
